        NoDur  Durbl  Manuf  Enrgy  Chems  BusEq  Telcm  Utils  Shops  Hlth   Money  Other
197606   3.62   4.22   4.43   5.09   2.07   8.22   3.58   4.25   1.52   3.67   6.47   4.46
197607   1.48  -1.06  -2.02  -0.62  -1.43  -2.23   1.25   2.82  -2.33  -0.38   1.17  -1.32
197608  -0.31  -1.44  -1.38  -0.86  -2.35  -0.84   4.74   2.96   2.89   2.17  -0.14  -2.19
197609   1.55   4.49   1.37   5.91   0.45   2.90   1.59   4.08   0.43   3.62   0.53   1.30
197610  -1.62  -1.15  -3.67  -2.42  -2.40  -4.46   1.29  -0.81  -0.89  -3.74   0.63  -1.57
197611   1.74  -0.71   1.09   0.82  -3.69   1.59   3.14   3.14   4.84  -9.71   1.73   2.47
197612   5.22   9.67   5.11   6.33   7.74   3.73   3.44   6.49   2.33   6.26   8.92   7.85
197701  -4.09  -4.20  -5.77   0.29  -6.50  -3.92   0.11   0.84  -7.15  -8.84  -4.59  -3.69
197702  -1.39  -3.49  -0.48  -3.01  -0.94  -0.67   0.99  -3.40  -1.83  -0.21  -1.62  -1.82
197703  -1.39  -3.34  -0.10  -2.08  -0.83  -0.09  -1.03   0.19  -2.76  -1.79  -0.52   0.39
197704   0.53   3.16   1.10   2.53  -0.61  -3.61   0.66   1.94  -3.43  -5.21   2.34   1.92
197705  -0.94  -0.49  -2.82  -0.41  -3.30  -1.47   1.44   1.68  -2.76  -1.88  -0.59  -1.16
197706   4.53   4.29   3.77   6.09   2.59   7.81   1.93   5.70   6.06   9.03   6.00   4.51
197707   1.22  -2.44  -4.13  -1.80  -2.39  -0.07  -0.86   0.87  -0.18  -2.24   0.43  -1.42
197708   0.11  -0.85  -1.45  -5.77  -0.86   0.60  -2.26  -3.23   4.62   3.83  -1.18  -1.28
197709   0.25   1.55  -1.22   0.73  -0.32  -1.85   3.48   2.01  -0.71  -0.89  -0.03  -0.13
197710  -3.35  -4.46  -4.96  -3.55  -3.62  -3.23  -5.05  -3.14  -3.17  -1.75  -4.85  -3.95
197711   4.59   1.95   4.65   3.45   3.57   5.25   2.18   4.28   5.58   6.08   5.89   7.28
197712   0.00  -0.75   0.75   1.89   0.82   2.34   2.15  -0.33  -1.25   0.62  -0.10   1.48
197801  -5.30  -6.86  -5.87  -6.93  -6.54  -4.67  -4.16  -4.53  -6.84  -1.92  -6.04  -4.47
197802   0.12   0.39  -2.06  -1.08  -3.97  -3.47   4.13  -0.41  -0.43  -3.00   0.08  -0.42
197803   4.17   6.09   4.37   2.06   2.73  -0.69   2.62   2.47   2.86   4.17   5.15   5.80
197804   6.92   9.62  11.56   6.71  11.20  13.35   2.93   0.18  10.84   9.25  10.03   8.59
197805   4.22   0.20   5.23   0.89   1.29   1.64  -0.39   0.71   1.25   5.17   1.32   4.15
197806  -0.26  -2.81  -1.37  -3.74  -1.63  -0.40  -1.53   0.84  -1.97   1.14  -0.51  -0.10
197807   3.53   4.71   8.80   3.34   5.16   8.69   1.42   2.83   5.14   8.86   5.21   8.31
197808   4.14   2.98   3.98   5.09   3.77   6.07   3.55   0.46   5.71   0.99   5.60   7.29
197809  -0.38  -0.50  -2.31   4.77  -1.44  -4.23   1.22  -0.24  -2.66  -2.75  -0.87  -1.73
197810 -11.58 -11.17 -12.22 -10.61  -8.97 -10.74  -4.47  -7.07 -14.14 -12.84 -11.45 -17.18
197811   2.14   0.73   3.26   6.17   1.76   5.16   2.99   3.00   2.59   5.19   1.76   3.49
197812   1.70  -0.61   1.66   2.81   0.86   6.52   0.09  -1.23  -0.60   3.41   1.41   1.14
197901   4.20   5.08   7.24   3.12   4.63   4.25   3.66   6.36   5.75   1.42   5.30   7.07
197902  -3.51  -3.59  -4.72   0.63  -3.82  -3.33  -0.63  -1.63  -4.42  -4.52  -3.37  -3.10
197903   4.13   6.61   7.54   9.36   6.97   7.54   0.16   2.33   6.15   5.04   7.45   9.06
197904   0.20   2.95  -0.33   4.33  -0.89   0.36  -2.15  -2.74   0.87   0.43   1.44   1.60
197905  -1.77  -0.71  -2.06  -2.43  -2.94  -1.95   0.10   1.43  -2.43  -2.64   0.16  -0.86
197906   3.31   3.01   3.91   9.26   2.38   0.42   1.92   4.97   2.86   4.83   8.72   4.98
197907   2.03   2.06   1.81   1.58   2.83  -1.72  -0.11   2.08   1.18   0.15   3.26   3.39
197908   7.55   4.70   7.62   7.89   7.78   6.00   1.53   2.04   8.89   8.56   5.08   6.74
197909  -1.87   0.42  -1.34   5.92   0.89  -1.73  -2.39  -2.17  -0.76  -0.55  -1.12  -0.17
197910  -7.66  -9.40  -9.08  -2.55  -8.10  -7.75  -5.05  -5.80  -8.90  -4.34 -10.09 -10.28
197911   5.14  -2.20   4.51   8.90   5.37   8.18   4.02   7.74   3.84   8.77   6.35   7.85
197912   3.38   3.37   4.63   2.48   4.06   1.69  -1.53  -0.99   3.07   2.08   1.79   7.02
198001   3.12   9.09   8.82  14.22   2.22   7.50  -2.06   1.56   1.31  -1.29   2.11   9.43
198002  -4.85  -6.30  -2.76  12.94  -1.77  -3.59  -1.48  -3.39  -4.85  -4.63  -5.07  -1.65
198003  -8.13  -8.79 -12.36 -17.89 -10.12 -12.66  -2.62  -6.59  -8.64  -2.82  -8.92 -15.66
198004   6.49  -1.77   2.37   6.86   5.58   0.56   7.32  12.00   3.36   4.29   6.81   5.26
198005   7.94   4.33   5.62   4.09   7.76   4.80   5.00   4.59  10.73   6.96   7.87   8.40
198006   2.99   2.79   2.81   5.83   1.07   3.08  -0.58   4.54   2.41   0.22   4.87   5.35
198007   7.76  11.74  11.49   2.01   9.33  15.42   1.00  -0.10  10.83   8.88   3.25  11.30
198008   1.43   1.49   1.48   3.66   1.97   3.62   6.30  -1.17   1.86   0.27   1.87   3.69
198009   0.27   0.98   3.69   6.52   0.83   1.88  -1.61   0.15   1.28   3.62   2.62   5.07
198010   0.29  -1.72   1.24   7.74  -1.46   1.78  -3.25   1.94  -1.15  -1.24   0.10   3.32
198011   0.91   4.92   8.81  24.29   7.25   9.92   0.00   7.38   2.60   8.86   5.61   9.83
198012   1.01  -1.09  -2.54 -10.59  -0.98  -1.00   0.83  -1.95  -1.37   4.59   3.12  -3.02
198101   2.01  -2.24  -2.80 -10.15   0.31  -8.25   5.54  -2.57   0.47  -1.61  -2.51  -3.94
198102   2.48   6.44   4.26  -0.44   4.74   0.31   2.15  -1.27   2.70   1.85   1.96   1.44
198103   6.92   6.99   7.28  -2.26   2.41   5.05   1.17   2.98  12.72   5.90   6.90   9.96
198104   1.16   1.88  -0.76  -7.54  -1.18  -0.01   6.21  -2.68   3.10   3.03   0.64   1.17
198105   2.66   2.86  -0.09  -3.87  -1.07   4.32   7.14   1.82   2.82   3.44   2.75   2.91
198106  -0.21  -4.28  -2.46   4.70   1.70  -6.75  -1.92   3.44  -1.42  -5.58   1.69  -4.53
198107  -0.64  -2.91  -2.64   7.93  -3.76  -3.63   0.37   2.80  -3.40  -3.90  -3.09  -2.33
198108  -5.07  -7.90  -7.30  -6.28  -5.67  -7.29  -0.81  -0.83  -5.60  -7.73  -5.17  -6.01
198109  -2.18  -2.97  -7.43 -12.28  -6.60  -3.64   2.84  -5.53  -3.64  -1.28  -2.52  -9.10
198110   7.41  -4.15   2.91   9.92   5.80   5.14   6.02   4.88   6.77   7.95   7.45   6.86
198111   2.65   4.85   4.93   6.90   3.49   1.40   2.70   5.92   1.07   3.92   5.68   4.20
198112  -1.81   0.48  -1.31  -6.54  -2.46  -0.06  -1.45  -2.33  -1.94  -0.73  -3.86  -3.65
198201  -0.92   1.17  -3.87  -8.46  -1.80   2.94   0.68  -0.67   0.12   1.43  -2.17  -4.65
198202  -1.97  -2.04  -5.47 -11.09  -6.05  -5.20  -5.68  -0.36  -1.36  -1.80  -2.91  -5.33
198203   2.45   3.49  -1.96  -3.65  -1.11  -3.70   2.05   1.66   4.22  -2.55  -1.05  -1.70
198204   6.67   4.44   2.61   4.34   4.96   7.52  -0.18   3.84   5.41   7.39   3.28   4.30
198205  -3.26  -1.93  -5.02   2.31  -3.92  -5.35  -1.02  -0.52  -2.72  -3.03  -5.52  -5.48
198206   1.67   2.65  -2.11  -6.25  -3.67  -2.38  -2.45  -2.21   2.67  -0.75  -2.53  -2.34
198207  -0.46  -0.33  -2.20  -7.91  -2.70   1.68   1.20  -2.57   0.21   0.79  -3.03  -3.03
198208   9.17  13.74  13.76   9.69  14.37  12.87  10.84  12.00  12.58  12.37  11.46  11.15
198209   5.25  -0.73  -1.38   1.77  -0.21   1.13   0.99   1.06   4.75   1.36   6.01   1.14
198210  10.58  16.55  13.45   5.58  12.12  17.07   8.12   4.73  16.87   8.20  15.20  16.65
198211   5.17   8.24   6.20  -4.40   4.72  10.72   5.95   0.16  11.18   5.20   6.60   9.52
198212   0.97   3.03   1.80   5.54  -1.81   2.66  -1.23   4.32  -2.09   0.58  -2.35   0.25
198301  -1.01   5.17   4.32   3.62   6.93   8.36  12.44   3.67   1.29   1.42   0.48   6.56
198302   3.80   3.63   4.35  -0.59   3.21   3.67  -0.36   1.59   7.90   2.84   5.43   3.32
198303   7.47  -1.14   1.88   5.97   2.59   0.67   0.64   0.27   8.51   4.52   6.82   2.12
198304   6.19  10.88   5.78   9.38   7.65   7.53   5.14   4.76   8.57   5.05   9.15   6.99
198305  -0.95  -2.07   2.36   1.35   1.28   2.71  -1.31   2.60   0.48  -2.73   0.63   5.32
198306   3.00  10.41   1.55   6.41   1.63   6.20   0.17  -0.54   6.11   6.91   0.34   3.80
198307  -2.65  -3.90  -2.86  -2.26  -1.94  -5.35  -5.17   1.03  -3.27  -5.68  -2.85  -5.00
198308   0.71  -2.38  -1.06   6.83   4.68  -1.03   2.20   1.52  -4.73  -1.01   0.88  -3.56
198309   4.66   4.39   2.97  -4.63   0.65   2.16   2.26   4.66   2.18   1.30   1.95   0.91
198310  -0.21   0.04  -2.39  -2.05  -2.01  -6.98  -5.20   3.07  -1.76  -2.18  -3.01  -5.95
198311   2.30   4.23   7.85  -0.43   3.23   2.20   3.17  -1.61   4.46  -3.01   3.98   5.98
198312  -0.48   0.92  -0.30   2.10  -3.08   0.44  -1.54  -3.69  -4.71  -3.58  -0.75  -1.19
198401  -0.70  -5.38  -3.34  10.11  -4.13  -6.25   4.09   1.45  -5.88  -0.62  -0.47  -3.51
198402  -5.72  -6.09  -6.73   3.87  -6.28  -5.89  -3.68  -3.33  -4.45  -2.02  -4.59  -5.56
198403   1.62   0.35   2.55   0.26   5.34   1.72  -4.24  -0.29   1.21  -0.67   2.06   3.09
198404   0.57   1.32  -0.61   3.98   1.08  -0.38   2.18  -0.48   0.31   2.32  -1.16  -3.60
198405  -2.41  -5.77  -6.12  -5.04  -5.14  -5.45  -3.50  -0.80  -5.16  -6.45  -7.39  -5.98
198406   6.33   2.11   3.79  -2.18   1.85   1.65  12.28   0.45   7.42   3.86   2.29   2.16
198407  -1.61   2.53  -1.29  -7.46  -1.95  -2.36   2.81  -0.01   0.12  -3.76  -0.68  -4.44
198408   8.71  10.01  12.04  13.97  11.53  13.91   6.72   7.76   9.87  10.43  11.04  11.65
198409   1.26  -0.20  -2.62   2.24  -2.39  -4.03   2.90   4.82   0.09  -4.42   3.22  -0.17
198410   1.38   2.15   0.82  -4.47  -0.11  -0.44  -0.81   3.34  -0.74   1.65   1.19  -0.45
198411   0.38  -3.02  -1.52  -1.02  -0.83  -3.89  -0.24   3.06  -2.92  -0.08   0.34  -1.87
198412   2.50   4.61   2.47  -0.54   1.31   2.60   5.10   2.63   0.77   2.74   4.50   1.83
198501   4.90   9.84   9.58   6.54   5.81  12.55   5.85   2.39  13.19   8.31   8.89  12.24
198502   5.08  -1.57   1.05   3.87   1.91  -1.38   2.69   1.38   2.10   3.59   2.17   2.13
198503   4.63  -5.26  -3.43   1.45  -1.39  -5.95   5.47   6.10  -0.61   3.07   0.09  -0.85
198504  -2.12  -3.45  -2.03   3.81  -0.11  -3.73   0.90   1.61   0.09  -1.76   2.54  -1.19
198505   8.00   5.93   5.72   0.75   6.95   2.78   6.63   5.45   9.62   9.45   6.24   6.54
198506   2.76   1.50   1.37  -0.76   1.91  -0.74   4.09   3.63   1.61   2.29   2.98   2.82
198507  -2.62   2.39   3.34  -0.59   3.39   4.52  -4.55  -4.70  -3.98  -0.47  -1.36   3.09
198508   0.74  -2.64  -1.25   1.55  -0.88  -2.62   0.54   1.91  -0.61  -0.82  -0.40  -0.65
198509  -0.64  -3.28  -4.35  -1.30  -3.09  -4.68  -4.18  -5.35  -4.34  -3.92  -4.45  -6.36
198510   3.60   0.85   1.82   5.95   6.82   2.98   4.08   6.32   6.86   3.18   7.67   3.07
198511   8.56   9.94   8.55   0.34   6.52   8.53   7.42   4.24   7.99   9.74   7.64   7.08
198512   5.45   7.18   4.06  -2.75   5.69   8.29   6.15   4.85   4.55   3.52   4.98   3.23
198601   1.79   2.15   2.18  -6.76   0.27  -0.37  -3.97   3.78   1.64   1.06   3.51   3.68
198602  10.82  10.90   9.76   0.80  11.24   4.92   7.40   6.57   7.81   6.13   8.66   7.54
198603   8.11   7.86   6.00   0.95   5.97  -0.23   3.85   3.96   8.57  12.05   5.86   5.56
198604   0.42  -3.51  -2.84   0.76   0.93   3.92   2.44  -3.97   0.40   0.70  -3.29  -0.39
198605   8.88   3.15   3.68   7.33   6.07   0.82   4.85   3.63   9.85   7.29   5.01   3.78
198606   6.30  -1.29  -0.77  -2.05   1.41  -4.00   5.38   5.04   3.84   5.64   1.96   0.23
198607  -5.74  -9.09  -7.94  -5.11  -6.50  -8.24  -3.00   5.15  -9.54  -5.35  -5.46  -9.76
198608   2.58   7.49   7.15  16.64   4.77   7.03   6.83   7.90   1.67   4.00   7.04   6.10
198609 -10.84  -8.15  -6.38  -0.88  -6.90  -7.11  -9.42  -9.09  -8.44 -12.59 -10.33  -3.82
198610   8.90   6.47   5.74   1.91   8.47   0.48   4.63   5.25   7.36   7.99   3.47   6.66
198611   0.72   4.85   2.14   3.23   3.27   3.61   3.98   0.55   1.76   1.35  -0.94   0.14
198612  -3.22  -2.22  -1.69  -0.45  -2.51  -3.77  -3.70  -3.29  -6.25  -1.23  -2.31  -3.18
198701  14.56  18.71  14.24  14.16  14.83  16.61   5.30   9.30  11.80  13.16  10.44  13.28
198702   5.61   3.46   4.82  -1.72   4.75   9.52   0.03  -2.14   9.80  11.26   3.95   6.99
198703   1.14   4.65   2.80  11.82   4.92   2.71   1.40  -1.67   1.70   0.15  -1.47   3.09
198704  -3.68   4.04  -2.10   0.12  -0.48   4.43  -2.45  -4.33  -2.70  -2.45  -4.96  -1.51
198705   2.64  -1.49   0.06   3.06   1.05   0.27   3.34  -1.84  -0.06   1.25  -0.78   2.04
198706   6.78   2.88   5.07   6.00   5.35  -0.08   7.04   3.40   6.26   4.78   4.96   3.75
